Novamyl 1500MG,Lipopan FBG,Pentopan Mono BG,Time Period in minutes,Digitized Time period,Energy(cm2),Resistance(BU),Extensibitity(mm)at 5min,Maximum(BU),Ratio Number 
35,4,30,45,0,106,348,160,512,2.2
75,4,30,45,0,92,270,168,429,1.6
35,10,30,45,0,94,320,159,456,2
75,10,30,45,0,108,346,163,512,2.1
75,4,100,45,0,103,304,169,480,1.8
35,10,100,45,0,82,273,159,400,1.7
75,10,100,45,0,77,274,151,394,1.8
21.3641,7,65,45,0,82,286,156,399,1.8
88.6359,7,65,45,0,94,277,171,430,1.6
55,1.9546,65,45,0,101,299,170,456,1.8
55,12.0454,65,45,0,99,358,150,498,2.4
55,7,6.137,45,0,99,358,152,498,2.4
55,7,123.863,45,0,83,250,166,393,1.5
55,7,65,45,0,109,318,176,479,1.8
55,7,65,45,0,97,336,159,466,2.1
35,4,30,90,1,110,560,121,771,4.6
75,4,30,90,1,113,562,128,747,4.4
35,10,30,90,1,114,526,135,725,3.9
75,10,30,90,1,112,534,130,716,4.1
75,4,100,90,1,123,520,142,727,3.7
35,10,100,90,1,102,527,122,677,4.3
75,10,100,90,1,99,522,121,665,4.4
21.3641,7,65,90,1,118,613,122,779,5
88.6359,7,65,90,1,115,482,139,692,3.5
55,1.9546,65,90,1,106,492,134,651,3.7
55,12.0454,65,90,1,114,548,128,729,4.3
55,7,6.137,90,1,112,550,130,704,4.2
55,7,123.863,90,1,105,418,148,592,2.8
55,7,65,90,1,128,574,135,789,4.3
55,7,65,90,1,106,556,126,711,4.4
35,4,30,135,2,116,674,115,849,5.9
75,4,30,135,2,100,588,118,708,5
35,10,30,135,2,112,642,114,849,5.7
75,10,30,135,2,127,580,135,790,4.3
75,4,100,135,2,105,540,130,664,4.2
35,10,100,135,2,104,639,113,762,5.7
75,10,100,135,2,105,622,117,720,5.3
21.3641,7,65,135,2,101,631,110,740,5.7
88.6359,7,65,135,2,98,410,145,571,2.8
55,1.9546,65,135,2,105,597,115,770,5.2
55,12.0454,65,135,2,108,534,129,711,4.2
55,7,6.137,135,2,102,562,119,715,4.7
55,7,123.863,135,2,97,498,130,617,3.8
55,7,65,135,2,111,604,124,744,4.9
55,7,65,135,2,120,682,120,853,5.7
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
